name,sku,barcode,price,quantity,low_stock_threshold Wireless
Earbuds,EB-404,8904444444444,2499,30,8
HD Webcam,WC-505,8905555555555,3499,12,3
USB-C Hub,HB-606,8906666666666,1599,25,6
Portable SSD 1TB,SD-707,8907777777777,7999,8,2
Ergonomic Mouse Pad,MP-808,8908888888888,299,50,10
Laptop Stand,LS-909,8909999999999,1299,18,5
Dual Monitor Arm,MA-110,8901010101010,4500,6,2
Ring Light 10-inch,RL-211,8901111111211,899,40,10
Bluetooth Speaker,BS-312,8901212121212,2199,22,5
Privacy Screen Filter,PS-413,8901313131313,1100,15,4